# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_5 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2)
5.122,0.059229,0
5.129,0.058083,0
5.138,0.059461,0
5.144,0.06251,0
5.154,0.058105,0
5.16,0.057201,0
5.171,0.057116,0
5.177,0.058748,0
5.186,0.062943,0
5.191,0.057127,0
5.203,0.057865,0
5.213,0.058245,0
5.235,0.06071,0
5.24,0.056251,0
5.252,0.060717,0
5.262,0.058451,0
5.268,0.059059,0
5.276,0.06113,0
5.283,0.062738,0
5.292,0.057964,0
5.298,0.059871,0
5.307,0.063726,0
5.313,0.058972,0
5.322,0.056164,0
5.328,0.060886,0
5.337,0.064053,0
5.342,0.060034,0
5.353,0.060794,0
5.364,0.056919,0
5.37,0.056082,0
5.379,0.053945,0
5.385,0.063996,0
5.394,0.055968,0
5.406,0.05663,0
5.412,0.057856,0
5.424,0.058384,0
5.431,0.059325,0
5.44,0.062058,0
5.446,0.060927,0
5.455,0.057621,0
5.461,0.057513,0
5.47,0.065032,0
5.476,0.061484,0
5.486,0.059264,0
5.492,0.0573,0
5.503,0.060893,0
5.509,0.057059,0
5.519,0.061243,0
5.525,0.06345,0
5.534,0.058645,0
5.54,0.057623,0
5.55,0.060931,0
5.556,0.058364,0
5.565,0.059565,0
5.571,0.058215,0
5.58,0.059813,0
5.586,0.062007,0
5.595,0.058178,0
5.601,0.058379,0
5.61,0.062312,0
5.622,0.058654,0
5.628,0.057314,0
5.64,0.06304,0
5.652,0.06444,0
5.661,0.059089,0
5.668,0.059699,0
5.677,0.062123,0
5.689,0.064584,0
5.695,0.062411,0
5.707,0.058709,0
5.719,0.061133,0
5.729,0.063006,0
5.74,0.061455,0
5.752,0.063229,0
5.761,0.058665,0
5.768,0.060531,0
5.777,0.060437,0
5.789,0.063444,0
5.795,0.060555,0
5.807,0.057454,0
5.819,0.061377,0
5.83,0.05805,0
5.836,0.059507,0
5.845,0.058322,0
5.851,0.058157,0
5.86,0.056329,0
5.872,0.061976,0
5.879,0.061564,0
5.89,0.065609,0
5.902,0.061058,0
5.911,0.058186,0
5.918,0.057464,0
5.927,0.061224,0
