# Material: Ecoflex 30
# Mullin's Effect: Removed at 40KPa
# Test sample: 1 (8x8w7mm_7 chambers with extra wall length at one end to clamp the sample)
# Time (s), Force (N), Pressure (N/mm2) 
5.268,0.016514,0
5.275,0.01789,0
5.286,0.014089,0
5.297,0.00908,0
5.308,0.007613,0
5.319,0.017015,0
5.324,0.016967,0
5.334,0.020705,0
5.345,0.014565,0
5.356,0.016963,0
5.377,0.024352,0
5.383,0.01004,0
5.392,0.023466,0
5.399,0.018556,0
5.407,0.031336,0
5.413,0.012813,0
5.422,0.02234,0
5.428,0.026848,0
5.437,0.020075,0
5.443,0.011189,0
5.452,0.02724,0
5.458,0.024931,0
5.468,0.01851,0
5.474,0.016441,0
5.483,0.015196,0
5.489,0.02544,0
5.499,0.01156,0
5.505,0.018759,0
5.514,0.02062,0
5.52,0.015784,0
5.53,0.030234,0
5.536,0.022451,0
5.545,0.012461,0
5.551,0.016115,0
5.56,0.027131,0
5.566,0.024937,0
5.574,0.013452,0
5.58,0.012364,0
5.589,0.028806,0
5.596,0.017325,0
5.604,0.014835,0
5.61,0.025012,0
5.619,0.02162,0
5.625,0.021155,0
5.635,0.013626,0
5.641,0.014464,0
5.65,0.025053,0
5.656,0.019577,0
5.666,0.010434,0
5.672,0.009239,0
5.681,0.019792,0
5.687,0.02693,0
5.696,0.024685,0
5.702,0.013586,0
5.71,0.031993,0
5.716,0.025405,0
5.725,0.016144,0
5.732,0.013097,0
5.74,0.024415,0
5.746,0.025622,0
5.755,0.012572,0
5.761,0.016839,0
5.77,0.032328,0
5.776,0.020604,0
5.785,0.013838,0
5.791,0.021302,0
5.801,0.022867,0
5.807,0.02655,0
5.816,0.01088,0
5.822,0.011396,0
5.831,0.028446,0
5.837,0.026217,0
5.846,0.012175,0
5.852,0.01242,0
5.861,0.026396,0
5.867,0.026064,0
5.875,0.012914,0
5.882,0.012433,0
5.89,0.022822,0
5.896,0.01952,0
5.905,0.013502,0
5.911,0.020964,0
5.92,0.028526,0
5.926,0.028726,0
5.935,0.010389,0
5.941,0.022593,0
5.951,0.028394,0
5.957,0.023783,0
5.966,0.01339,0
5.972,0.013697,0
5.982,0.029415,0
5.988,0.030163,0
5.998,0.019689,0
0.004,0.020822,0.01
0.014,0.027649,0.01
0.02,0.016972,0.01
0.029,0.024904,0.01
0.035,0.008396,0.01
0.044,0.024121,0.01
0.05,0.015778,0.01
0.058,0.031073,0.01
0.065,0.019411,0.01
0.073,0.021205,0.01
0.08,0.012166,0.01
0.088,0.03303,0.01
0.094,0.017436,0.01
0.103,0.043886,0.01
0.108,0.035677,0.01
0.119,0.079977,0.01
0.125,0.041808,0.01
0.134,0.044019,0.01
0.14,0.03978,0.01
0.15,0.029269,0.01
0.156,0.050325,0.01
0.165,0.038736,0.01
0.171,0.028251,0.01
0.182,0.054648,0.01
0.192,0.023147,0.01
0.199,0.052802,0.01
0.207,0.022612,0.01
0.213,0.042668,0.01
0.222,0.051179,0.01
0.229,0.02383,0.01
0.237,0.050737,0.01
0.243,0.03268,0.01
0.252,0.024547,0.01
0.258,0.05118,0.01
0.268,0.021571,0.01
0.274,0.041494,0.01
0.283,0.045819,0.01
0.289,0.020768,0.01
0.298,0.044341,0.01
0.304,0.027798,0.01
0.313,0.02992,0.01
0.319,0.050037,0.01
0.328,0.024144,0.01
0.334,0.043347,0.01
0.342,0.049887,0.01
0.349,0.023137,0.01
0.358,0.043842,0.01
0.37,0.021591,0.01
0.376,0.043261,0.01
0.387,0.031335,0.01
0.399,0.035844,0.01
0.41,0.020549,0.01
0.421,0.055889,0.01
0.432,0.020126,0.01
0.442,0.05182,0.01
0.449,0.02149,0.01
0.457,0.043859,0.01
0.463,0.020123,0.01
0.472,0.015142,0.01
0.478,0.054968,0.01
0.487,0.025973,0.01
0.493,0.026286,0.01
0.502,0.044625,0.01
0.508,0.016982,0.01
0.518,0.033806,0.01
0.524,0.021059,0.01
0.533,0.016091,0.01
0.539,0.040968,0.01
0.549,0.019795,0.01
0.555,0.039653,0.01
0.564,0.018577,0.01
0.57,0.014556,0.01
0.579,0.045705,0.01
0.585,0.018251,0.01
0.595,0.016806,0.01
0.601,0.032544,0.01
0.609,0.016941,0.01
0.616,0.043024,0.01
0.624,0.017719,0.01
0.63,0.015678,0.01
0.639,0.04058,0.01
0.645,0.014332,0.01
0.654,0.018127,0.01
0.66,0.034285,0.01
0.669,0.014823,0.01
0.675,0.035978,0.01
0.685,0.030928,0.01
0.691,0.017523,0.01
0.7,0.048873,0.01
0.706,0.013384,0.01
0.716,0.019357,0.01
0.722,0.024902,0.01
0.731,0.015585,0.01
0.737,0.045216,0.01
0.747,0.025217,0.01
0.753,0.03908,0.01
0.762,0.045659,0.01
0.768,0.016521,0.01
0.776,0.036957,0.01
0.782,0.025068,0.01
0.791,0.018312,0.01
0.798,0.041205,0.01
0.806,0.014706,0.01
0.812,0.022633,0.01
0.821,0.041202,0.01
0.827,0.016112,0.01
0.836,0.030723,0.01
0.842,0.026756,0.01
0.852,0.012222,0.01
0.858,0.046788,0.01
0.867,0.017567,0.01
0.873,0.032585,0.01
0.883,0.046491,0.01
0.889,0.014445,0.01
0.898,0.03696,0.01
0.904,0.017523,0.01
0.913,0.036632,0.01
0.919,0.044136,0.01
0.928,0.017762,0.01
0.934,0.037653,0.01
0.943,0.036239,0.01
0.949,0.013433,0.01
0.958,0.039014,0.01
0.965,0.016801,0.01
0.973,0.039247,0.01
0.979,0.039706,0.01
0.988,0.012764,0.01
0.995,0.029672,0.01
1.003,0.016924,0.01
1.009,0.014989,0.01
1.018,0.040565,0.01
1.024,0.016303,0.01
1.033,0.015119,0.01
1.039,0.037192,0.01
1.049,0.013175,0.01
1.055,0.04323,0.01
1.064,0.037116,0.01
1.07,0.014702,0.01
1.078,0.043761,0.01
1.084,0.013766,0.01
1.094,0.01548,0.01
1.1,0.037382,0.01
1.108,0.014258,0.01
1.115,0.036801,0.01
1.123,0.035023,0.01
1.129,0.015741,0.01
1.138,0.036034,0.01
1.144,0.018573,0.01
1.153,0.015434,0.01
1.159,0.043201,0.01
1.168,0.015121,0.01
1.174,0.030364,0.01
1.184,0.039592,0.01
1.19,0.01406,0.01
1.199,0.044949,0.01
1.206,0.014765,0.01
1.215,0.044068,0.01
1.221,0.02945,0.01
1.231,0.01416,0.01
1.237,0.054691,0.01
1.247,0.014186,0.01
1.254,0.037106,0.01
1.262,0.022394,0.01
1.273,0.011783,0.01
1.28,0.034409,0.01
1.289,0.014708,0.01
1.298,0.045692,0.01
1.305,0.016585,0.01
1.317,0.021878,0.01
1.328,0.015255,0.01
1.334,0.029722,0.01
1.343,0.014997,0.01
1.349,0.016006,0.01
1.357,0.035445,0.01
1.363,0.013358,0.01
1.372,0.014501,0.01
1.378,0.043499,0.01
1.387,0.018037,0.01
1.394,0.037361,0.01
1.402,0.016346,0.01
1.408,0.013818,0.01
