# Ecoflex30, bending actuator, displacement test.
# wall=7mm, 5 chambers, chamber=[8x8x2]mm, tube=[2,2,7]mm.
# Pressure (N/mm2), Bending Angle (degrees)
0.010109,0
0.010217,0.9008
0.010225,0.9008
0.010232,0.8008
0.010239,0.9008
0.010246,0.9008
0.010254,0.8008
0.010261,0.9008
0.010268,0.8008
0.010275,0.9008
0.010283,0.9008
0.01029,0.9008
0.010297,0.9008
0.010304,0.9008
0.010312,0.9008
0.010319,0.9008
0.010326,0.9008
0.010333,0.9008
0.010341,0.9008
0.010348,0.9008
0.010355,0.9008
0.010362,0.9008
0.01037,0.9008
0.010377,0.9008
0.010384,0.9008
0.010391,0.9008
0.010399,0.9008
0.010406,0.9008
0.010413,0.9008
0.01042,0.9008
0.010428,0.9008
0.010435,0.9008
0.010442,0.9008
0.010449,0.9008
0.010457,0.9008
0.010464,0.9008
0.010471,0.9008
0.010478,0.9008
0.010486,0.9008
0.010493,0.9008
0.0105,0.9008
0.010507,0.9008
0.010514,0.9008
0.010522,0.9008
0.010529,0.9008
0.010536,0.9008
0.010543,0.9008
0.010551,0.9008
0.010558,0.9008
0.010565,0.9008
0.010572,0.9008
0.01058,0.9008
0.010587,0.9008
0.010594,0.9008
0.010601,0.9008
0.010609,0.9008
0.010616,0.9008
0.010623,0.9008
0.01063,0.9008
0.010638,0.9008
0.010645,0.9008
0.010652,0.9008
0.010659,0.9008
0.010667,0.9008
0.010674,0.9008
0.010681,0.9008
0.010688,1.0007
0.010696,0.9008
0.010703,0.9008
0.01071,0.9008
0.010717,0.9008
0.010725,0.9008
0.010732,0.9008
0.010739,0.9008
0.010746,0.9008
0.010754,0.9008
0.010761,0.9008
0.010768,0.9008
0.010775,0.9008
0.010783,1.0007
0.01079,0.9008
0.010797,1.0007
0.010804,0.9008
0.010812,1.0007
0.010819,1.0007
0.010826,1.0007
0.010833,1.0007
0.010841,0.9008
0.010848,0.9008
0.010855,1.0007
0.010862,0.9008
0.01087,1.0007
0.010877,1.0007
0.010884,1.0007
0.010891,1.0007
0.010899,0.9008
0.010906,1.0007
0.010913,1.0007
0.01092,1.0007
0.010928,1.0007
0.010935,0.9008
0.010942,1.0007
0.010949,1.0007
0.010957,1.0007
0.010964,1.0007
0.010971,1.0007
0.010978,1.0007
0.010986,1.0007
0.010993,1.0007
0.011,1.0007
0.011007,1.0007
0.011014,1.0007
0.011022,1.0007
0.011029,1.0007
0.011036,1.0007
0.011043,1.0007
0.011051,1.0007
0.011058,1.0007
0.011065,1.0007
0.011072,1.0007
0.01108,1.0007
0.011087,1.0007
0.011094,1.0007
0.011101,1.0007
0.011109,1.0007
0.011116,1.0007
0.011123,1.0007
0.01113,1.0007
0.011138,1.0007
0.011145,1.0007
0.011152,1.0007
0.011159,1.0007
0.011167,1.0007
0.011174,1.0007
0.011181,1.0007
0.011188,1.0007
0.011196,1.0007
0.011203,1.0007
0.01121,1.0007
0.011217,1.0007
0.011225,1.0007
0.011232,1.0007
0.011239,1.0007
0.011246,1.0007
0.011254,1.0007
0.011261,1.0007
0.011268,1.0007
0.011275,1.0007
0.011283,1.0007
0.01129,1.0007
0.011297,1.0007
0.011304,1.0007
0.011312,1.0007
0.011319,1.0007
0.011326,1.0007
0.011333,1.0007
0.011341,1.0007
0.011348,1.0007
0.011355,1.0007
0.011362,1.0007
0.01137,1.0007
0.011377,1.0007
0.011384,1.0007
0.011391,1.0007
0.011399,1.0007
0.011406,1.0007
0.011413,1.0007
0.01142,1.0007
0.011428,1.0007
0.011435,1.0007
0.011442,1.0007
0.011449,1.0007
0.011457,1.0007
0.011464,1.0007
0.011471,1.0007
0.011478,1.0007
0.011486,1.1006
0.011493,1.0007
0.0115,1.0007
0.011507,1.0007
0.011514,1.0007
0.011522,1.0007
0.011529,1.0007
0.011536,1.0007
0.011543,1.0007
0.011551,1.0007
0.011558,1.0007
0.011565,1.0007
0.011572,1.0007
0.01158,1.0007
0.011587,1.1006
0.011594,1.0007
0.011601,1.0007
0.011609,1.0007
0.011616,1.1006
0.011623,1.0007
0.01163,1.0007
0.011638,1.0007
0.011645,1.1006
0.011652,1.1006
0.011659,1.1006
0.011667,1.1006
0.011674,1.0007
0.011681,1.1006
0.011688,1.1006
0.011696,1.1006
0.011703,1.1006
0.01171,1.1006
0.011717,1.1006
0.011725,1.1006
0.011732,1.1006
0.011739,1.1006
0.011746,1.1006
0.011754,1.1006
0.011761,1.1006
0.011768,1.1006
0.011775,1.1006
0.011783,1.1006
0.01179,1.1006
0.011797,1.1006
0.011804,1.1006
0.011812,1.1006
0.011819,1.1006
0.011826,1.1006
0.011833,1.1006
0.011841,1.1006
0.011848,1.1006
0.011855,1.1006
0.011862,1.1006
0.01187,1.1006
0.011877,1.1006
0.011884,1.1006
0.011891,1.1006
0.011899,1.1006
0.011906,1.1006
0.011913,1.1006
0.01192,1.1006
0.011928,1.1006
0.011935,1.1006
0.011942,1.1006
0.011949,1.1006
0.011957,1.1006
0.011964,1.1006
0.011971,1.1006
0.011978,1.1006
0.011986,1.2004
0.011993,1.2004
0.012,1.2004
0.012007,1.2004
0.012014,1.1006
0.012022,1.1006
0.012029,1.2004
0.012036,1.1006
0.012043,1.2115
0.012051,1.2115
0.012058,1.2004
0.012065,1.2004
0.012072,1.2004
0.01208,1.2004
0.012087,1.1006
0.012094,1.2004
0.012101,1.1006
0.012109,1.2004
0.012116,1.1006
0.012123,1.1006
0.01213,1.1006
0.012138,1.1006
0.012145,1.1006
0.012152,1.2115
0.012159,1.1115
0.012167,1.1115
0.012174,1.1006
0.012181,1.1006
0.012188,1.1006
0.012196,1.1006
0.012203,1.1006
0.01221,1.1006
0.012217,1.1006
0.012225,1.1006
0.012232,1.2004
0.012239,1.1006
0.012246,1.2004
0.012254,1.2004
0.012261,1.2004
0.012268,1.2004
0.012275,1.2004
0.012283,1.2115
0.01229,1.2004
0.012297,1.2004
0.012304,1.1006
0.012312,1.2004
0.012319,1.2004
0.012326,1.2004
0.012333,1.2004
0.012341,1.2004
0.012348,1.2004
0.012355,1.2004
0.012362,1.2004
0.01237,1.2004
0.012377,1.2004
0.012384,1.2004
0.012391,1.2004
0.012399,1.2004
0.012406,1.2004
0.012413,1.2004
0.01242,1.2004
0.012428,1.2004
0.012435,1.2004
0.012442,1.2004
0.012449,1.2004
0.012457,1.2004
0.012464,1.2004
0.012471,1.2004
0.012478,1.2004
0.012486,1.2004
0.012493,1.2004
0.0125,1.2004
0.012507,1.2004
0.012514,1.2004
0.012522,1.2004
0.012529,1.2004
0.012536,1.2004
0.012543,1.2004
0.012551,1.2004
0.012558,1.2004
0.012565,1.2004
0.012572,1.2004
0.01258,1.2004
0.012587,1.2004
0.012594,1.2004
0.012601,1.2004
0.012609,1.2004
0.012616,1.2004
0.012623,1.2004
0.01263,1.2004
0.012638,1.2004
0.012645,1.2004
0.012652,1.2004
0.012659,1.2004
0.012667,1.2004
0.012674,1.2004
0.012681,1.2004
0.012688,1.2004
0.012696,1.2004
0.012703,1.2004
0.01271,1.2004
0.012717,1.2004
0.012725,1.2115
0.012732,1.2115
0.012739,1.3115
0.012746,1.2115
0.012754,1.2115
0.012761,1.2004
0.012768,1.2004
0.012775,1.2004
0.012783,1.2004
0.01279,1.2115
0.012797,1.2004
0.012804,1.2115
0.012812,1.2004
0.012819,1.2004
0.012826,1.2004
0.012833,1.2004
0.012841,1.2004
0.012848,1.2004
0.012855,1.2004
0.012862,1.2004
0.01287,1.2004
0.012877,1.2004
0.012884,1.2115
0.012891,1.2115
0.012899,1.2004
0.012906,1.2004
0.012913,1.2115
0.01292,1.2115
0.012928,1.2004
0.012935,1.3115
0.012942,1.3002
0.012949,1.2004
0.012957,1.3002
0.012964,1.2004
0.012971,1.3002
0.012978,1.3002
0.012986,1.3002
0.012993,1.2115
0.013,1.2115
0.013007,1.3002
0.013014,1.2004
0.013022,1.2004
0.013029,1.3115
0.013036,1.3002
0.013043,1.3115
0.013051,1.2004
0.013058,1.3115
0.013065,1.2004
0.013072,1.2004
0.01308,1.3002
0.013087,1.2115
0.013094,1.2115
0.013101,1.2115
0.013109,1.2004
0.013116,1.2115
0.013123,1.2115
0.01313,1.3115
0.013138,1.3115
0.013145,1.2115
0.013152,1.2115
0.013159,1.2115
0.013167,1.3115
0.013174,1.2115
0.013181,1.3115
0.013188,1.2115
0.013196,1.3115
0.013203,1.3115
0.01321,1.2115
0.013217,1.3115
0.013225,1.3115
0.013232,1.3115
0.013239,1.3115
0.013246,1.3115
0.013254,1.3115
0.013261,1.3115
0.013268,1.3115
0.013275,1.3115
0.013283,1.3115
0.01329,1.3115
0.013297,1.3115
0.013304,1.3115
0.013312,1.3115
0.013319,1.3115
0.013326,1.3115
0.013333,1.3115
0.013341,1.3115
0.013348,1.3002
0.013355,1.3115
0.013362,1.3115
0.01337,1.3115
0.013377,1.3115
0.013384,1.3115
0.013391,1.3115
0.013399,1.3115
0.013406,1.3115
0.013413,1.3115
0.01342,1.3115
0.013428,1.3115
0.013435,1.3115
0.013442,1.3115
0.013449,1.3115
0.013457,1.3115
0.013464,1.3115
0.013471,1.3002
0.013478,1.3002
0.013486,1.3115
0.013493,1.3002
0.0135,1.3115
0.013507,1.4114
0.013514,1.4114
0.013522,1.4114
0.013529,1.3002
0.013536,1.3115
0.013543,1.3002
0.013551,1.3115
0.013558,1.4114
0.013565,1.3115
0.013572,1.4114
0.01358,1.4114
0.013587,1.4114
0.013594,1.3115
0.013601,1.3115
0.013609,1.3115
0.013616,1.4114
0.013623,1.4114
0.01363,1.3115
0.013638,1.3115
0.013645,1.3115
0.013652,1.3115
0.013659,1.4114
0.013667,1.3115
0.013674,1.4114
0.013681,1.4114
0.013688,1.3115
0.013696,1.3115
0.013703,1.4114
0.01371,1.4114
0.013717,1.4
0.013725,1.4114
0.013732,1.4114
0.013739,1.4114
0.013746,1.4
0.013754,1.4114
0.013761,1.4114
0.013768,1.4114
0.013775,1.4114
0.013783,1.4114
0.01379,1.4114
0.013797,1.4114
0.013804,1.4114
0.013812,1.4114
0.013819,1.4114
0.013826,1.4114
0.013833,1.4114
0.013841,1.4114
0.013848,1.4114
0.013855,1.4114
0.013862,1.4114
0.01387,1.4114
0.013877,1.4114
0.013884,1.4114
0.013891,1.4114
0.013899,1.4114
0.013906,1.4114
0.013913,1.4114
0.01392,1.4114
0.013928,1.4114
0.013942,1.4114
0.013971,1.4114
0.013978,1.4114
0.013986,1.4114
0.013993,1.4114
0.014,1.4114
0.014007,1.4114
0.014014,1.4114
0.014022,1.4114
0.014029,1.4114
0.014036,1.4114
0.014043,1.4114
0.014051,1.4114
0.014058,1.4114
0.014065,1.4114
0.014072,1.4114
0.01408,1.4114
0.014087,1.4114
0.014094,1.4114
0.014101,1.4114
0.014109,1.4114
0.014116,1.4114
0.014123,1.4114
0.01413,1.4114
0.014138,1.4114
0.014145,1.4114
0.014152,1.4114
0.014159,1.4114
0.014167,1.4114
0.014174,1.4114
0.014181,1.4114
0.014188,1.4114
0.014196,1.4114
0.014203,1.4114
0.01421,1.4114
0.014217,1.4114
0.014225,1.5113
0.014232,1.4114
0.014239,1.4114
0.014246,1.4114
0.014254,1.4114
0.014261,1.4114
0.014268,1.5113
0.014275,1.4114
0.014283,1.5113
0.01429,1.4114
0.014297,1.5113
0.014304,1.4114
0.014312,1.4114
0.014319,1.4114
0.014326,1.4114
0.014333,1.5113
0.014341,1.5113
0.014348,1.5113
0.014355,1.5113
0.014362,1.5113
0.01437,1.5113
0.014377,1.5113
0.014384,1.5113
0.014391,1.5113
0.014399,1.5113
0.014406,1.5113
0.014413,1.5113
0.01442,1.5113
0.014428,1.5113
0.014435,1.5113
0.014442,1.5113
0.014449,1.5113
0.014457,1.5113
0.014464,1.5113
0.014471,1.5113
0.014478,1.5113
0.014486,1.5113
0.014493,1.5113
0.0145,1.5113
0.014507,1.5113
0.014514,1.5113
0.014522,1.5113
0.014529,1.5113
0.014536,1.5113
0.014543,1.5113
0.014551,1.5113
0.014558,1.5113
0.014565,1.5113
0.014572,1.5113
0.01458,1.5113
0.014587,1.5113
0.014594,1.5113
0.014601,1.5113
0.014609,1.5113
0.014616,1.5113
0.014623,1.5113
0.01463,1.5113
0.014638,1.5113
0.014645,1.5113
0.014652,1.5113
0.014659,1.5113
0.014667,1.5113
0.014674,1.5113
0.014681,1.5113
0.014688,1.5113
0.014696,1.5113
0.014703,1.5113
0.01471,1.5113
0.014717,1.5113
0.014725,1.5113
0.014732,1.5113
0.014739,1.5113
0.014746,1.5113
0.014754,1.5113
0.014761,1.5113
0.014768,1.5113
0.014775,1.5113
0.014783,1.5113
0.01479,1.5113
0.014797,1.5113
0.014804,1.5113
0.014812,1.4997
0.014819,1.5113
0.014826,1.6111
0.014833,1.5113
0.014841,1.5113
0.014848,1.5113
0.014855,1.5113
0.014862,1.5113
0.01487,1.6111
0.014877,1.5113
0.014884,1.5113
0.014891,1.5113
0.014899,1.4997
0.014906,1.5994
0.014913,1.4997
0.01492,1.4997
0.014928,1.6111
0.014935,1.6111
0.014942,1.5113
0.014949,1.6111
0.014957,1.4997
0.014964,1.5113
0.014971,1.5994
0.014978,1.6111
0.014986,1.6111
0.014993,1.5113
0.015,1.5113
0.015007,1.5994
0.015014,1.5113
0.015022,1.6111
0.015029,1.6111
0.015036,1.6111
0.015043,1.6111
0.015051,1.6111
0.015058,1.6111
0.015065,1.5994
0.015072,1.6111
0.01508,1.6111
0.015087,1.6111
0.015094,1.6111
0.015101,1.6111
0.015109,1.6111
0.015116,1.6111
0.015123,1.6111
0.01513,1.6111
0.015138,1.5994
0.015145,1.6111
0.015152,1.6111
0.015159,1.6111
0.015167,1.5994
0.015174,1.5994
0.015181,1.5994
0.015188,1.5994
0.015196,1.5994
0.015203,1.5994
0.01521,1.5994
0.015217,1.5994
0.015225,1.5994
0.015232,1.6111
0.015239,1.6111
0.015246,1.6111
0.015254,1.5994
0.015261,1.6111
0.015268,1.6111
0.015275,1.5994
0.015283,1.5994
0.01529,1.6111
0.015297,1.6111
0.015304,1.6111
0.015312,1.6111
0.015319,1.6111
0.015326,1.5994
0.015333,1.6111
0.015341,1.6111
0.015348,1.6111
0.015355,1.6111
0.015362,1.6111
0.01537,1.6111
0.015377,1.6111
0.015384,1.6111
0.015391,1.6111
0.015399,1.6111
0.015406,1.6111
0.015413,1.6111
0.01542,1.5994
0.015428,1.6111
0.015435,1.6111
0.015442,1.6111
0.015449,1.6111
0.015457,1.711
0.015464,1.6111
0.015471,1.6111
0.015478,1.6111
0.015486,1.711
0.015493,1.711
0.0155,1.711
0.015507,1.711
0.015514,1.711
0.015522,1.711
0.015529,1.711
0.015536,1.711
0.015543,1.699
0.015551,1.711
0.015558,1.699
0.015565,1.699
0.015572,1.699
0.01558,1.5994
0.015587,1.699
0.015594,1.5994
0.015601,1.699
0.015609,1.699
0.015616,1.711
0.015623,1.711
0.01563,1.711
0.015638,1.711
0.015645,1.711
